Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chapter_1_b15d4a22	s	“So that may be the reason why I wasn’t notified of your break.”	game/chapter-1.rpy	34	s "[what]"
chapter_1_891ec02d	n	“Anyway, may we change the subject.”	game/chapter-1.rpy	35	n "[what]"
chapter_1_2a99da63	n	“Today by the central market I noticed an increased presence of lizard guards, what’s that for?”	game/chapter-1.rpy	36	n "[what]"
chapter_1_3fb3259b	s	“Oh, while you were away, the main Ziggurat was finished. We can now begin the celebrations.”	game/chapter-1.rpy	37	s "[what]"
chapter_1_c87777d7		I’m not surprised by these news. Everyone was pretty much talking about it at the central market murmuring to each other.	game/chapter-1.rpy	38	"[what]"
chapter_1_1c287a7c		Everyone was afraid so many people would loose their jobs because the construction of the ziggurat employed many, including slaves.	game/chapter-1.rpy	39	"[what]"
chapter_1_05550c96		Nabisin was never comfortable about slaves, many of them were ungulates.	game/chapter-1.rpy	40	"[what]"
chapter_1_7688592a		It was a sick joke from the gods. {w}Had he not chosen his current path he would be forced into servitude.	game/chapter-1.rpy	41	"[what]"
chapter_1_5913b5fe		Speeding his pace each step, Nabisin remembered a conversation he had with one of the elder priests.	game/chapter-1.rpy	42	"[what]"
chapter_1_f6457140	n	“Have the arrangements for the celebration begun?”	game/chapter-1.rpy	43	n "[what]"
chapter_1_e05e0974	s	“As of now, there’s not much. {w}We shall begin by documenting all the wealth we have acquired so far.”	game/chapter-1.rpy	44	s "[what]"
chapter_1_39a24254	s	“We are planning a celebration to honor the long years to come forth, asking divine intervention for immeasurable wealth and power.”	game/chapter-1.rpy	45	s "[what]"
chapter_1_c09617ed	n	“Right, I remember.”	game/chapter-1.rpy	46	n "[what]"
chapter_1_84028b78	n	“Will Luludân have a part in this?”	game/chapter-1.rpy	47	n "[what]"
chapter_1_90ead83c	s	“As an aspiring scribe, I hope his master has something prepared for him.”	game/chapter-1.rpy	48	s "[what]"
chapter_1_a535d639	s	“He’s one of the first of his kind to become a scribe so early on life.”	game/chapter-1.rpy	49	s "[what]"
chapter_1_a9d1e000	s	“His master, Ninni told me he’s a good one when it comes the little details.”	game/chapter-1.rpy	50	s "[what]"
chapter_1_c4e51f64	s	“All others mess up the signs and end up having to scrape the whole thing.”	game/chapter-1.rpy	51	s "[what]"
chapter_1_364b0343	s	“Anyway, I'll leave you to it Nabisin, take care.”	game/chapter-1.rpy	52	s "[what]"
chapter_1_eadf3ba0		The day goes smoothly.	game/chapter-1.rpy	54	"[what]"
chapter_1_aab41949		Upon returning home to see it’s still early in the morning, Nabisin finds Lulu getting ready to go to his daily writing training.	game/chapter-1.rpy	57	"[what]"
chapter_1_134aea9a		Today’s routine is set to calculate some newly bought lands for people up in the mountains.	game/chapter-1.rpy	58	"[what]"
chapter_1_923529d2		As for Nabisin, he starts setting up things for the celebration that was to come in the next weeks or so.	game/chapter-1.rpy	59	"[what]"
chapter_1_bf18f6d2		The night came as soon as Nabisin looked up.	game/chapter-1.rpy	60	"[what]"
chapter_1_08568eb9		Already tired, panting and faltering, Nabisin was torn apart from running around consulting with different priests, assistants and slaves.	game/chapter-1.rpy	61	"[what]"
chapter_1_a065fb61		All he wanted was to see Lulu.	game/chapter-1.rpy	62	"[what]"
chapter_1_86390741		Returning home, Nabisin took note to talk to Lulu, as he had been missing his partner the entire day.	game/chapter-1.rpy	63	"[what]"
chapter_1_e8378954		In the bed, there was a silhouette only Nabisin knew.	game/chapter-1.rpy	64	"[what]"
chapter_1_92ee8486		He soon found himself snuggling into the sheets with his lover.	game/chapter-1.rpy	65	"[what]"
chapter_1_facbbfba		The nights were much more meaningful to Nabisin that way. It didn’t matter if people thought wretched things of both of us.	game/chapter-1.rpy	66	"[what]"
chapter_1_91d276ce		Being like this was the best feeling so far.	game/chapter-1.rpy	67	"[what]"
chapter_1_7e5524db	l	“Heey…”	game/chapter-1.rpy	71	l "[what]"
chapter_1_03ed3275	l	“You finally home.”	game/chapter-1.rpy	72	l "[what]"
chapter_1_1085d35d	n	“Shhhh…”	game/chapter-1.rpy	74	n "[what]"
chapter_1_a7d9a292	n	“The moon.”	game/chapter-1.rpy	75	n "[what]"
chapter_1_37d46199	n	“Look at him.”	game/chapter-1.rpy	76	n "[what]"
chapter_1_ce610ebb		The moon was especially bright that day, almost blinding the light of stars.	game/chapter-1.rpy	78	"[what]"
chapter_1_eed751a4	n	“The Dingir smile to us.”	game/chapter-1.rpy	79	n "[what]"
chapter_1_61eb44d2	l	“So beautiful.”	game/chapter-1.rpy	80	l "[what]"
chapter_1_a908a1ff		They slowly closed their eyes to the calming view of their window that was just by their bed in the corner of their bedroom.	game/chapter-1.rpy	81	"[what]"
chapter_1_1fe2a375		The next day was usual.	game/chapter-1.rpy	84	"[what]"
chapter_1_def836ba		Plant a kiss on Lulu’s forehead.	game/chapter-1.rpy	85	"[what]"
chapter_1_49644060		Hymn to Utu, Dingir of the sun.	game/chapter-1.rpy	86	"[what]"
chapter_1_5559ed07		Run temple errands and moving onto the newly built Ziggurat.	game/chapter-1.rpy	87	"[what]"
chapter_1_2669ced3		This wasn’t a difficult task on paper, but it proved to be much laborious for both temple staff and Nabisin.	game/chapter-1.rpy	88	"[what]"
chapter_1_7b2fc557		A friend of Nabisin approached him to help, one of the priests of the temple complex.	game/chapter-1.rpy	89	"[what]"
chapter_1_4d2af438		He had dedicated most of his service to curing the sick and prescribing remedies for curses cast upon the weak.	game/chapter-1.rpy	90	"[what]"
chapter_1_ef2fbb38		Its also of his craft to be a carpenter when he has time to do so.	game/chapter-1.rpy	91	"[what]"
chapter_1_9b9dcb59		He carves little statuettes of the Dingir for those who can’t buy one made out of stone.	game/chapter-1.rpy	92	"[what]"
chapter_1_97901421		Even more, he’s also specialized in votive offerings of sick people who had been cured by their familiar deity.	game/chapter-1.rpy	93	"[what]"
chapter_1_fc5f7a79	e	“Oi, Nabisin, my young priest.”	game/chapter-1.rpy	97	e "[what]"
chapter_1_fa252847	e	“How have things been these past few months?”	game/chapter-1.rpy	98	e "[what]"
chapter_1_63f314c7	e	“I heard from others you took a small break from the temple matters.”	game/chapter-1.rpy	99	e "[what]"
chapter_1_e4a9db57	n	“Ah, it was nothing really.”	game/chapter-1.rpy	101	n "[what]"
chapter_1_477b76d3	n	“Just my parents visiting me.”	game/chapter-1.rpy	102	n "[what]"
chapter_1_f2cb1422	n	“I had to find good rooms for them both.”	game/chapter-1.rpy	103	n "[what]"
chapter_1_0d1cfaf0	n	“I hoped the temple had given me a permission to stay away for a time to care for my elder parents who came from a long travel.”	game/chapter-1.rpy	104	n "[what]"
chapter_1_f91479b5	e	“Very wise of your judgment. The Dingir are pleased with your dedication to the humbleness of honoring your progenitors.”	game/chapter-1.rpy	106	e "[what]"
chapter_1_f78e1d0e	n	“Thank you for that. I was sure I had angered the Dingir threefold by being absent for so long.”	game/chapter-1.rpy	109	n "[what]"
chapter_1_0423ca90	n	“But I am joyous of my return to the temple duties.”	game/chapter-1.rpy	110	n "[what]"
chapter_1_89b5f258	e	“Enough of that chattering.” 	game/chapter-1.rpy	112	e "[what]"
chapter_1_6aaf23b1	e	“I heard the king shall commute with us today evening.”	game/chapter-1.rpy	113	e "[what]"
chapter_1_5983ab31	e	“Heard this will the appointment ceremony of newcomer priests and reassigning of areas of acting.”	game/chapter-1.rpy	114	e "[what]"
chapter_1_711fcf3e	n	“That would be great, I ponder if Lulu could come over and sit by my side.”	game/chapter-1.rpy	116	n "[what]"
chapter_1_d5f00fee	e	“You must know not many people are accordant with your man to man relation with Luludân.”	game/chapter-1.rpy	118	e "[what]"
chapter_1_ad95161d	n	“I need not to sneak him in, he’s practically familiar with all the people in here.”	game/chapter-1.rpy	120	n "[what]"
chapter_1_6aa078c2	e	“It is not of us to contest the laws given by gods.”	game/chapter-1.rpy	122	e "[what]"
chapter_1_29ef12bb	e	“You two aren’t damned however, just bring him under the pretext of servitude.”	game/chapter-1.rpy	123	e "[what]"
chapter_1_bcf497a6	n	“That would be absurd.”	game/chapter-1.rpy	126	n "[what]"
chapter_1_656ccda0	n	“It would be unhinged of me to make my lover, a slave.”	game/chapter-1.rpy	127	n "[what]"
chapter_1_eb9b3724	e	“I suppose you really love that one, well.”	game/chapter-1.rpy	129	e "[what]"
chapter_1_c6dbcc08	e	“Have you thought of dressing him as a priest that you took under your wings as an aspiring devotee of Sîn, thus ceasing the questions around you and the young.”	game/chapter-1.rpy	130	e "[what]"
chapter_1_2cc884f8	n	“I will do as you suggest.”	game/chapter-1.rpy	132	n "[what]"
chapter_1_c8fb56ec	n	“I’m much obliged for helping me out with this one.”	game/chapter-1.rpy	133	n "[what]"
chapter_1_e2182b52	e	“As a devotee of the Dingir, I shall also listen to the laws, but a secular feeling is telling me otherwise.”	game/chapter-1.rpy	135	e "[what]"
chapter_1_7e204092	e	“This evening I will have to pass this dinner.”	game/chapter-1.rpy	136	e "[what]"
chapter_1_f1e39269	e	“Age is catching up on me, and I have become limp and much older.”	game/chapter-1.rpy	137	e "[what]"
chapter_1_7506d716	n	“I hope the other temple staff won’t notice your belittling of the occasion.”	game/chapter-1.rpy	139	n "[what]"
chapter_1_9c8eae7f	e	“All I do is for the people and especially the weak.”	game/chapter-1.rpy	141	e "[what]"
chapter_1_7164fa35	e	“If their mood is easily soured, then I have no business with those men.”	game/chapter-1.rpy	142	e "[what]"
chapter_1_72c277f4	e	“Tell them on my behalf, I have more important hidden matters for the next three days.”	game/chapter-1.rpy	143	e "[what]"
chapter_1_2f6df024	n	“That’ll do.”	game/chapter-1.rpy	145	n "[what]"
chapter_1_47d941ba		That day was specially windy.	game/chapter-1.rpy	146	"[what]"
chapter_1_b905debc		A simple white robe flies as the wind strangles the simple fabric.	game/chapter-1.rpy	147	"[what]"
chapter_1_cd760c7f		Unbothered but still appreciating the freedom the soft breeze.	game/chapter-1.rpy	148	"[what]"
chapter_1_c772dcfb		Snapping out of this trance, Nabisin starts jogging towards home.	game/chapter-1.rpy	149	"[what]"
chapter_1_9960e035		Nothing much out of the ordinary, however Nabisin encounters Kurraagal.	game/chapter-1.rpy	150	"[what]"
chapter_1_8867d8f3	k	“Oh! Slow down, you!”	game/chapter-1.rpy	152	k "[what]"
chapter_1_ba494c3d	k	“Hey Nabby, don’t be a stranger!”	game/chapter-1.rpy	153	k "[what]"
chapter_1_3f7caa30	n	“Salutations Kurra. It’s been a couple weeks since our last conversation.”	game/chapter-1.rpy	155	n "[what]"
chapter_1_cf0e12b4	k	“I was actually busy too. My newborn son took all the time I had at my disposal.”	game/chapter-1.rpy	157	k "[what]"
chapter_1_f0ff6e55	k	“The little boy is strong!”	game/chapter-1.rpy	158	k "[what]"
chapter_1_a72d962e	n	“Ah! I’m extremely jubilous for you!”	game/chapter-1.rpy	160	n "[what]"
chapter_1_9fd9ee36	n	“Praised be the Dingir for bringing you forth such strong children!”	game/chapter-1.rpy	161	n "[what]"
chapter_1_d4295fba	k	“Now, may I finish our small conversation? I have duties back at home.”	game/chapter-1.rpy	163	k "[what]"
chapter_1_7b3517e6	k	 “Don’t be a stranger Nabby, I know the temple keeps you busy but take some time for you.”	game/chapter-1.rpy	164	k "[what]"
chapter_1_23168096		 With that, Kurra sprint back to his house, almost falling from stumbling on some rocks.	game/chapter-1.rpy	165	"[what]"
chapter_1_00efa9eb		Back on track, Nabisin quickly came back home.	game/chapter-1.rpy	166	"[what]"
chapter_1_dcbd610c	n	“Hey Lulu, where are you?”	game/chapter-1.rpy	170	n "[what]"
chapter_1_57855466	n	“I have a surprise for you…”	game/chapter-1.rpy	171	n "[what]"
chapter_1_715ad552	l	“Hey Nab.”	game/chapter-1.rpy	173	l "[what]"
chapter_1_db648e84	l	“D’ya wanna eat some Sasqu?”	game/chapter-1.rpy	174	l "[what]"
chapter_1_83dd5409	n	“No, no, not yet my fluff.”	game/chapter-1.rpy	177	n "[what]"
chapter_1_2732ce06	n	“Need to tell you, I’m going to dine with the king.”	game/chapter-1.rpy	178	n "[what]"
chapter_1_8de45815	n	“And, best of all, you can go with me!”	game/chapter-1.rpy	179	n "[what]"
chapter_1_78bcd680	l	 “Me?”	game/chapter-1.rpy	181	l "[what]"
chapter_1_eb99116a	l	“A mere scribe apprentice. You’re kidding me.”	game/chapter-1.rpy	182	l "[what]"
chapter_1_75b6cac7	l	“By Nabu, how are you supposed to sneak me in. Are gonna sneak me into one of garments?”	game/chapter-1.rpy	183	l "[what]"
chapter_1_42bed79f	l	“Hehehe.”	game/chapter-1.rpy	184	l "[what]"
chapter_1_7b86c24b	n	“Cut it out!”	game/chapter-1.rpy	185	n "[what]"
chapter_1_13a0bcec	n	“My garments are reserved for only one person.”	game/chapter-1.rpy	186	n "[what]"
chapter_1_2564dffb	n	“Anyway, I shall get you in by pretending you’re priest apprentice I took under my wings.” 	game/chapter-1.rpy	187	n "[what]"
chapter_1_198def44		Leaning back on his chair, Lulu raised the spoon, swallowing his delicious goop.	game/chapter-1.rpy	188	"[what]"
chapter_1_9a97a140	l	“Interesting.”	game/chapter-1.rpy	190	l "[what]"
chapter_1_0fc1b561	l	“Hmmmm...”	game/chapter-1.rpy	191	l "[what]"
chapter_1_146f1dc4	l	“Are they going to believe it?”	game/chapter-1.rpy	192	l "[what]"
chapter_1_0a211ae7	n	“You need not speak a single word about it.”	game/chapter-1.rpy	193	n "[what]"
chapter_1_3f98ffdd	n	“Many other priest apprentices will also be there, so don’t you worry.”	game/chapter-1.rpy	194	n "[what]"
chapter_1_f6fff24b	l	“My descent is not noble, nor were my parents from notable origins.”	game/chapter-1.rpy	195	l "[what]"
chapter_1_b0fc1257	l	“Hmmmm…”	game/chapter-1.rpy	196	l "[what]"
chapter_1_c643c4bd	l	“It is decided, I will play pretend alongside you, my partner in crime!”	game/chapter-1.rpy	197	l "[what]"
chapter_1_084ef336	n	“You little fluffball.”	game/chapter-1.rpy	198	n "[what]"
chapter_1_61c206c0	n	“Quickly!”	game/chapter-1.rpy	199	n "[what]"
chapter_1_95ee2af2	n	“Let’s go to the bathhouse, there I shall borrow you acolite garments.”	game/chapter-1.rpy	200	n "[what]"
chapter_1_e5c951ed		Taking Lulu by his hand, they hug tightly.	game/chapter-1.rpy	201	"[what]"
chapter_1_6cc1b03e		On their way to the bathhouse the night begins slowly.	game/chapter-1.rpy	203	"[what]"
chapter_1_d6bcd272		The bathhouse was especially empty that evening.	game/chapter-1.rpy	204	"[what]"
chapter_1_1cc8180f		Lulu was quick to strip down, as he only had a few garments and a tunic.	game/chapter-1.rpy	205	"[what]"
chapter_1_be383ff4	l	“Shit! I forgot to return my stylus.”	game/chapter-1.rpy	207	l "[what]"
chapter_1_78a0f1ef	l	“It’s the fifth time, my master lent me a new stylus.”	game/chapter-1.rpy	208	l "[what]"
chapter_1_bda56403	n	“You need to be careful with that, or else Aradmu will skin you alive.”	game/chapter-1.rpy	210	n "[what]"
chapter_1_d42e43ed	l	“Quiet now, Nabby!”	game/chapter-1.rpy	212	l "[what]"
chapter_1_dd518f4c		Wrapping his stylus in his dirty garments, Lulu runs towards Nabisin.	game/chapter-1.rpy	215	"[what]"
chapter_1_a1197bc5		The water was specially crystal clear that night, the moonlight had just invaded the enclosure reflecting in the main pool.	game/chapter-1.rpy	216	"[what]"
chapter_1_09044d67	l	“Nabby, come join me here the water is so good~.”	game/chapter-1.rpy	221	l "[what]"
chapter_1_4954a341	n	“Luu, you’re such a crybaby; I’m going to join you silly.”	game/chapter-1.rpy	223	n "[what]"
chapter_1_17b98216		Quickly removing his garments, Nabisin steps in to the pool where his boyfriend was also bathing.	game/chapter-1.rpy	224	"[what]"
chapter_1_1aece31f		Rubbing the dirt and sweat of labour, soon the freshness of being clean replaced worriness and stress of everyday duties.	game/chapter-1.rpy	225	"[what]"
chapter_1_16c3847d		Suddenly you feel water gush in your direction.	game/chapter-1.rpy	226	"[what]"
chapter_1_8e1bdff3		 !!! SWOOSH !!!	game/chapter-1.rpy	227	"[what]"
chapter_1_26e9d9f1	n	“HEY!”	game/chapter-1.rpy	229	n "[what]"
chapter_1_7fcde4dd	n	“Quit being a toddler Lu!”	game/chapter-1.rpy	230	n "[what]"
chapter_1_9e6119c8	l	“You’ll never catch me alive you nerd!”	game/chapter-1.rpy	232	l "[what]"
chapter_1_f13f0df1	n	“Ahhh!!!”	game/chapter-1.rpy	234	n "[what]"
chapter_1_d71c2e02		Trying to swim with such huge horns was no easy task.	game/chapter-1.rpy	235	"[what]"
chapter_1_8401c2f1		 Antlers too proved to be a challenge for Lulu.	game/chapter-1.rpy	236	"[what]"
chapter_1_177c9b84		Slowing down, Lulu wrapped his arms around Nabisin for a tight hug, spooning him but also trapping him in his wet embrace.	game/chapter-1.rpy	237	"[what]"
chapter_1_b88d5f30		Planting several kisses on his cheeks, Nabisin couldn’t stop laughing as the whole situation melts into several feelings just by being by his lover.	game/chapter-1.rpy	244	"[what]"
chapter_1_63c1bbe6		Several moments later, time became meaningless.	game/chapter-1.rpy	246	"[what]"
chapter_1_8f37e8dd		The circumstances to which one of they had to abide to that night became utter senseless words. With each kiss and embrace, things began to disintegrate in an amourphous mass of just Nabisin and Lulu.	game/chapter-1.rpy	247	"[what]"
chapter_1_0f05ed43		The wet sensation further contributed, there was no indication where Nabisin began and where Lulu ended.	game/chapter-1.rpy	248	"[what]"
chapter_1_ce617998		…	game/chapter-1.rpy	249	"[what]"
chapter_1_1697dd6c		Suddenly a sense of urgency woke them both.	game/chapter-1.rpy	250	"[what]"
chapter_1_1a6dbb96		Rapidly rushing to leave the pool they both had to find their garments.	game/chapter-1.rpy	251	"[what]"
chapter_1_48c8a234		The priest garment for Nabisin and an acolite garment for Luludân.	game/chapter-1.rpy	252	"[what]"
chapter_1_738c9ded	n	“Oh no, we are late, we need to run!”	game/chapter-1.rpy	253	n "[what]"
chapter_1_21ec4b96		Even though the whole situation was sudden they still had fun running together, dodging every obstacle on the way.	game/chapter-1.rpy	255	"[what]"
chapter_1_08d8654e		Soon enough they were in the palace of the king.	game/chapter-1.rpy	256	"[what]"
chapter_1_4a28bf62		32 acolites and 10 priests were present at the dinner. 	game/chapter-1.rpy	257	"[what]"
chapter_1_ecd33dd7		With now the presence of Nabisin and Luludân, everyone finally sat down in their respective place.	game/chapter-1.rpy	258	"[what]"
chapter_1_c20cbe2f		Sitting on this designated seat, Nabisin noticed some old collegues from when he was still a priest apprentice.	game/chapter-1.rpy	262	"[what]"
chapter_1_3b8c382e		A lot of them had become priests of many different gods or healers of curses.	game/chapter-1.rpy	263	"[what]"
chapter_1_e35454d8		To his disappointment, or rather unsurprise, some of those collegues still held a distaste for Nabisin and his liking of the same sex.	game/chapter-1.rpy	264	"[what]"
chapter_1_596c70f1		On that occasion, nothing could be done against him, but it was obvious. Nabisin began to ponder if they would ever be capable of voicing their distate against his relationship with Lulu.	game/chapter-1.rpy	265	"[what]"
chapter_1_be68f36d		That, together with the mild discomfort of disguising Lulu as an acolyte of his, just so he could be by his lover that night.	game/chapter-1.rpy	266	"[what]"
chapter_1_67d2507e		Nabisin hoped nothing out of ordinary would happen, apart from the uncomfortable glares from right and left. He felt the need to keep an eye on every single one of them.	game/chapter-1.rpy	267	"[what]"
chapter_1_7e7f055d		Sitting by his left side, Nabisin was nodded the entire time, reassuring Lulu to keep him at ease.	game/chapter-1.rpy	268	"[what]"
chapter_1_7305c241		Lulu was strangely calm that night, unlike Nabisin, whose anxiety started to steadily increase in the back of his mind.	game/chapter-1.rpy	269	"[what]"
chapter_1_2853264d		His garments felt heavy as a nervous heat invaded his body on such a chilly night. Sweat was dripping down his chest; his slippery extremeties ensured an impending disaster, trying to hold cups and food once serving small dishes began that night.	game/chapter-1.rpy	270	"[what]"
chapter_1_7369ef60		Once a few moments went by, the majority of guests settled their eyes upon them both. They weren’t threatning, just giving dirty looks. Sometimes they would resume eating, listening to music or chatting about anything.	game/chapter-1.rpy	271	"[what]"
chapter_1_573b1fcd		Nabisin noticed it, still feeling uneasy about it. His garments were drenched from his sweat. He tried to breath and keep his composure throughout the night.	game/chapter-1.rpy	272	"[what]"
chapter_1_e79af22e		It was becoming rather noticeable. They all looked distressed, even disgusted. Nabisin couldn’t figure out their intentions. He began to succumb to the embarrassment.	game/chapter-1.rpy	273	"[what]"
chapter_1_903b8411		Just across the table, an unfamiliar face tried to call his attention.	game/chapter-1.rpy	274	"[what]"
chapter_1_9336f442	u	“Oi!”	game/chapter-1.rpy	277	u "[what]"
chapter_1_8237e743	u	“You there, look ‘ere.”	game/chapter-1.rpy	278	u "[what]"
chapter_1_17b45a0f		Nabi cocked his head toward the rather annoying acolyte.	game/chapter-1.rpy	279	"[what]"
chapter_1_3831bc80		He quickly recognized who was trying to call him out.	game/chapter-1.rpy	280	"[what]"
chapter_1_13493b61		Utudug, was a difficult figure. He always made fun of his peers.	game/chapter-1.rpy	281	"[what]"
chapter_1_80b52330		Despite being an acolyte of the temple, he was always drunk and hard to deal with. When not drunk, he’s rude towards others, shouting insults and being a deceitful person.	game/chapter-1.rpy	282	"[what]"
chapter_1_f75614ae		The only reason why he still had his privileges is due to his family donating enourmous amounts of wealth and has commissioning services from the temple many times, enough for the construction of tombs and special ceremonies.	game/chapter-1.rpy	283	"[what]"
chapter_1_fd60a9ce	u	“Hey! I’m talking to you.”	game/chapter-1.rpy	285	u "[what]"
chapter_1_5c36b882	u	“A cat ate your tongue?”	game/chapter-1.rpy	286	u "[what]"
chapter_1_aad13a72		Proceding to reply to him, Nabisin is interrupted again by Utudug.	game/chapter-1.rpy	287	"[what]"
chapter_1_8f579bf2	u	“Hah! I didn’t know you were still walking around with these boys.”	game/chapter-1.rpy	289	u "[what]"
chapter_1_be1d891c		Anger replaced the discomfort Nabisin felt at the moment, a boiling sensation for he knew what could come next.	game/chapter-1.rpy	290	"[what]"
chapter_1_3e318251	u	“I’m indeed surprised you still hold no liking for the feminine body, may the gods help you.”	game/chapter-1.rpy	291	u "[what]"
chapter_1_92e54860	u	“Oh right, your taste is of the masculine flesh, what a shame for a priest…”	game/chapter-1.rpy	292	u "[what]"
chapter_1_428b3f03		Nabisin tried to contain his temper, only to be met with another sting of anger.	game/chapter-1.rpy	294	"[what]"
chapter_1_e4a502b0		Lulu quietly stopped caressing Nabisin, but he couldn’t help but stare blankly at the empty bowl.	game/chapter-1.rpy	295	"[what]"
chapter_1_7773dafd		Lulu tried to hold Nabisin’s arm as a way to ground himself.	game/chapter-1.rpy	296	"[what]"
chapter_1_f95b2dc2		Nabi stood up, freeing himself from Lulu’s tight hold, slightly embarrassed, but above all furious and ready to raise his voice.	game/chapter-1.rpy	297	"[what]"
chapter_1_7412d6eb		Finding some strength to speak up, he composed himself as to not scream and call everyone’s attention. Still, he wanted to scream, even shake Utudug from his chair at that moment.	game/chapter-1.rpy	298	"[what]"
chapter_1_d40dab92	n	“I have heard enough of your words.”	game/chapter-1.rpy	300	n "[what]"
chapter_1_5bc29954	n	“Who are you to dictate what someone loves. It is not and never will be, your business to order others around like that!”	game/chapter-1.rpy	301	n "[what]"
chapter_1_d2027299		Noticing he has raised his voice a little much, Nabisin quickly clamped his muzzle shut and rapidly sunk into his seat.	game/chapter-1.rpy	302	"[what]"
chapter_1_223a4805		Utudug expression became coarse and irritated, as if it was more than just a conversation; in fact he seemed to take it as a serious offense.	game/chapter-1.rpy	305	"[what]"
chapter_1_285dcf52		Lulu’s face was also buried, but he soon let his arms dangle, acting as if nothing had happened.	game/chapter-1.rpy	306	"[what]"
chapter_1_c417bb78		To their relief the high priests came, bearing a shocking revelation for everyone at the table.	game/chapter-1.rpy	307	"[what]"
chapter_1_6b4585f4		Just across the table Shelibuum sat patiently, calmly listening to the high priests babble whenever she was able.	game/chapter-1.rpy	308	"[what]"
chapter_1_91d374ac		Although incredibly useful, she was just another acolyte in training.	game/chapter-1.rpy	309	"[what]"
chapter_1_39489c32		Already bored of the altercation, relief came when the music finally began to play.	game/chapter-1.rpy	311	"[what]"
chapter_1_98e1a85a		Food was also served alongside.	game/chapter-1.rpy	312	"[what]"
chapter_1_a20cefa7		...	game/chapter-1.rpy	313	"[what]"
chapter_1_58397f3c		Once everybody was satisfied with their meal, conversation about matters regarding the ceremony in honour of the god of the moon sprung up.	game/chapter-1.rpy	314	"[what]"
chapter_1_a6c70cd8		Suddenly Nabisin felt a touch, or rather a hand slip into his thighs. It was Lulu, who wanted to speak in private.	game/chapter-1.rpy	315	"[what]"
chapter_1_59337f69		They both excused themselves and went to a private enclure within the temple, away from the treasury so as not to raise suspicions.	game/chapter-1.rpy	316	"[what]"
chapter_1_c9792a11	l	“Hey, I know this is for you, but we need to go.”	game/chapter-1.rpy	322	l "[what]"
chapter_1_ca7e28db	l	“That Utudug person represents unknown risks.”	game/chapter-1.rpy	323	l "[what]"
chapter_1_76523a9e	n	“I am deeply sorry, I didn’t mean to ruin this night.”	game/chapter-1.rpy	325	n "[what]"
chapter_1_9b849f2a	l	“Look at me, I’m not angry with you, other people are the problem. We are all free to love whoever we want.”	game/chapter-1.rpy	327	l "[what]"
